Time_s,IR,Red,BPM,SpO2,Movement
0,108733,142514,75,NaN,0
0.04,108734,142517,73.8705024969594,NaN,0.0190633029455957
0.08,108742,142535,73.2820603076051,NaN,0.00434680024774533
0.12,108737,142535,72.4974440381739,NaN,0.00927734375
0.16,108740,142547,73.0714159944334,NaN,0.013343128341738
0.2,108737,142562,71.7149618109329,NaN,0.0127842065054551
0.24,108749,142577,73.0659149564164,NaN,0.00685335392950107
0.28,108753,142591,73.444530276255,NaN,0.00982040300835877
0.32,108760,142601,74.5214917143659,NaN,0.0305956033801837
0.36,108764,142602,74.1161352755355,NaN,0.0313585304104704
0.4,108768,142591,74.5874092322689,NaN,0.0101428603895708
0.44,108774,142539,75.6183850575492,NaN,0.0136958321071833
0.48,108724,142503,75.3828506507908,NaN,0.0186587976604351
0.52,108701,142471,74.6947931274433,NaN,0.0142691789025415
0.56,108702,142484,76.3186810329808,NaN,0.0111077277012474
0.6,108715,142501,74.4995958134652,NaN,0.00843610964022021
0.64,108721,142533,74.3955465686733,NaN,0.030944282481852
0.68,108741,142548,75.9709673245974,NaN,0.0125370430434256
0.72,108747,142553,75.1403529390111,NaN,0.0167249692953652
0.76,108737,142563,74.6892724329237,NaN,0.00739709834352691
0.8,108737,142570,73.7237749296592,NaN,0.00819236412869264
0.84,108732,142579,75.312250895659,NaN,0.0115393577129848
0.88,108735,142582,73.8444963790668,NaN,0.00878227819756101
0.92,108734,142582,73.6689196694385,NaN,0.0165836012673259
0.96,108748,142570,75.0124532439927,NaN,0.00635703933900954
1,108748,142566,74.6536676743746,NaN,0.0352307695459911
1.04,108753,142566,74.9998485009572,NaN,0.0431058603466864
1.08,108749,142548,75.1454879872296,NaN,0.0249406109162542
1.12,108745,142553,75.6654300958321,NaN,0.0265519064928174
1.16,108765,142513,74.0749985901305,NaN,0.0263219374452023
1.2,108675,142507,74.5822475448675,NaN,0.0171820198338993
1.24,108680,142518,73.1533716651626,NaN,0.0150893917386352
1.28,108714,142537,74.5559330718936,NaN,0.0122216709089686
1.32,108682,142561,73.7814636007874,NaN,0.014505323024915
1.36,108695,142551,74.9656088915951,NaN,0.0507877052312371
1.4,108687,142570,73.8917777299209,NaN,0.0258673876193275
1.44,108693,142527,74.3647888766298,NaN,0.0208608128198574
1.48,108692,142522,75.6044773867228,NaN,0.0274850735469873
1.52,108680,142511,73.8539300727107,NaN,0.0149724102602168
1.56,108688,142493,72.9228544870748,NaN,0.0208322206835858
1.6,108692,142500,71.8861286961816,NaN,0.00714710994546116
1.64,108693,142487,72.8620080080622,NaN,0.0169954143398019
1.68,108694,142499,72.9945629251853,NaN,0.02456132345318
1.72,108698,142516,71.7478873547624,NaN,0.0253636143138314
1.76,108697,142524,72.9839963758758,NaN,0.156064113671237
1.8,108701,142514,73.0709273216404,NaN,0.101877457758738
1.84,108665,142480,71.6755023651759,NaN,0.0277516056317976
1.88,108633,142488,70.7701471112916,NaN,0.0801662797211358
1.92,108632,142487,70.0658182018407,NaN,0.0794511768923691
1.96,108640,142513,71.2600855110536,NaN,0.0134454783330218
2,108651,142530,69.7772786971338,NaN,0.03396977955259
2.04,108672,142551,69.3577264610243,NaN,0.00786193466216046
2.08,108691,142522,68.824588286068,NaN,0.01558680634718
2.12,108689,142513,67.8697718026896,NaN,0.0185578995986132
2.16,108684,142516,69.3004900919829,NaN,0.0139992882683901
2.2,108683,142508,69.5725719063157,NaN,0.0141306602817263
2.24,108681,142542,70.0954185165439,NaN,0.00348702559987444
2.28,108703,142547,70.3366424699717,NaN,0.0137479572512706
2.32,108710,142579,70.2499766052847,NaN,0.0321701017597879
2.36,108714,142590,69.7144975013546,NaN,0.010794770981169
2.4,108726,142382,70.3560767701101,NaN,0.0211276876331249
2.44,108728,142639,69.0631746468747,NaN,0.0095089561006594
2.48,108722,142608,68.3508179532599,NaN,0.0178088830320673
2.52,108708,142596,67.2270762716829,NaN,0.0486930504745827
2.56,108689,142623,69.0521632652257,NaN,0.0656252543126583
2.6,108707,142633,70.045419413996,NaN,0.0158991603077783
2.64,108715,142636,68.4936653236245,NaN,0.0153109460158937
2.68,108732,142645,68.7344209475157,NaN,0.0111050443511173
2.72,108751,142651,69.2338339333321,NaN,0.00890025690115146
2.76,108736,142645,68.4633660302567,NaN,0.0103637623421832
2.8,108748,142655,69.415808939436,NaN,0.00917721978965454
2.84,108737,142670,69.3610801177683,NaN,0.00425673724955144
2.88,108743,142673,69.0921516581906,NaN,0.0118301185933454
2.92,108659,142687,99.6507910859113,NaN,0.0181978956577971
2.96,108748,142697,91.2639034791962,NaN,0.0172737040540124
3,108745,142710,92.2306699874933,80,0.00742925979233542
3.04,108575,142710,92.5574633968616,80,0.021195287393006
3.08,108752,142706,92.0723541702631,80,0.0159440838547419
3.12,108739,142681,93.4711545698351,80,0.00438094688596835
3.16,108658,142651,92.3429526784202,80,0.0048152057918252
3.2,108689,142635,92.6625576908026,80,0.00667714566952019
3.24,108692,142624,93.9969753853838,80,0.00829000334294416
3.28,108707,142755,92.8909386113653,80,0.00864547422345009
3.32,108721,142627,92.350219690338,80,0.00474035347630557
3.36,108724,142645,93.8581616925254,80,0.00355474115687525
3.4,108724,142793,92.1790032899764,80,0.00245358291531272
3.44,108723,142652,91.965480335959,80,0.00400420397140057
3.48,108722,142662,92.4207705905233,80,0.00429853927286597
3.52,108735,142734,91.4482428458516,80,0.0062291752061392
3.56,108725,142680,92.1229232116916,80,0.00963350569186956
3.6,108732,142682,92.8957391061841,80,0.0296738844317161
