Time_s,IR,Red,BPM,SpO2,Movement
8.522,108915,143126,70.0951295385899,92.5421264563372,0.0173460153011051
8.562,108954,143158,71.1845836529879,92.2487302470151,0.0231997832386809
8.602,108972,143183,72.1358053803478,92.0140140095576,0.0384170614347772
8.642,108988,143205,71.8327111606589,91.8262445600916,0.0113964257978357
8.682,108989,143211,72.8501624301382,91.6760464435394,0.0427308868156199
8.722,108990,143211,71.7262634107488,91.5559129174131,0.051603843990832
8.762,108988,143201,71.7555016364067,91.4598245964898,0.106463229570065
8.802,108996,143197,71.4248393215247,91.3829571388185,0.117676287764729
8.842,109005,143167,72.1315207690513,91.3214612624754,0.124075330556029
8.882,108982,143168,73.2882197737059,91.2722579990233,0.143196125265264
8.922,109002,143156,72.0419359110183,91.2328755377762,0.422532663944898
8.962,108998,143179,73.0548496762209,91.2013603802598,0.317344029331131
9.002,109003,143176,72.8866617598359,91.1761430904068,0.276605402318201
9.042,108968,143120,73.6490306629815,91.1559535896551,0.270650006872234
9.082,108890,143067,74.5575721059979,91.1397902559963,0.0978684218572373
9.122,108880,143095,73.4272240678814,91.1268660284253,0.134845212572637
9.162,108919,143158,74.9825745984364,91.1165420357208,0.228208286288414
9.202,108947,143193,73.16830637185,91.1083074945339,0.159408124585507
9.242,108978,143229,73.7784123043606,91.1017471542177,0.106924953721299
9.282,108992,143227,74.8944063397403,91.0965278863104,0.170786968390243
9.322,108992,143223,73.5439727787416,91.0923760661976,0.167384884976139
9.362,108985,143192,73.6194090484718,91.0890702301354,0.171964622019614
9.402,108973,143194,73.1099093833295,91.0864314814859,0.0809744932257166
9.442,108976,143190,73.4857166188951,91.0843190769806,0.153574738514358
9.482,108968,143218,74.4058462212141,91.082648047526,0.125503717207856
9.522,108996,143238,73.786602333153,91.0813289172481,0.129374031026409
9.562,109012,143256,74.2481413446624,90.7228434849313,0.0881459237007093
9.602,109026,143276,75.5343814580983,90.0155580325647,0.107901594417837
9.642,109018,143256,76.101156604372,89.4497298889117,0.116124224969189
9.682,108936,143198,76.7457398307938,88.9970771244664,0.098608939426012
9.722,108882,143161,77.8289614318334,88.6349949328645,0.118765067098336
9.762,108871,143183,76.4687355329641,88.3454027146295,0.0717997613270653
9.802,108896,143187,77.2652127204726,88.1137957559969,0.0916402576435918
9.842,108932,143208,77.8186167254119,87.9285657623292,0.0452247032143137
9.882,108955,143207,78.5652340041122,87.7804180667761,0.0762008220738399
9.922,108985,143204,78.8206917908443,87.6619034665671,0.0526676462219181
9.962,108962,143166,78.1479519474284,87.5670944490528,0.0606417988577786
10.002,108946,143156,76.9049756639816,87.4912591408028,0.0485299735113261
10.042,108937,143166,76.1843195896831,87.4306164410839,0.0208850853593254
10.082,108946,143185,75.8772899926137,87.3821265458044,0.0387299688925447
10.122,108968,143208,77.0866557746093,87.3433677480605,0.00753679152364899
10.162,109002,143267,77.986301389488,87.3124016195107,0.056601675387547
10.202,109038,143330,77.4749256648949,86.1523749668511,0.0334624096076551
10.242,109058,143370,78.9855821958163,84.7257523103069,0.0299009978367087
10.282,109020,143346,77.147265850243,83.5845103710068,0.0674155335521683
10.322,108978,143365,78.6452072003438,82.6716308671404,0.0448249102104892
10.362,109031,143418,78.4073723471145,80.9851555955531,0.0484396164954681
10.402,109074,143457,79.8080470414782,80,0.0490734802399433
10.442,109110,143437,80.5117988183676,80,0.0740430659940258
10.482,109124,143450,79.1563047052315,80.1073197213118,0.0227797725496667
10.522,109124,143431,79.0212289438236,80.1932149964869,0.045831509756166
10.562,109108,143427,77.8272116450924,80.2619721490794,0.0856964893258521
