Time_s,IR,Red,BPM,SpO2,Movement
3.121,108927,142978,78.3043417593766,87.1503214382813,0.006591796875
3.161,108906,142976,78.5257087084484,86.8329611752892,0.0108553389040116
3.201,108915,142962,79.799362655047,86.1347571582859,0.0129991987421622
3.241,108900,142996,78.4836314697788,85.5761869358093,0.026045353946313
3.281,108921,143025,79.0474476888502,85.1293425037131,0.00461290127629179
3.321,108936,143036,77.7101980475812,84.7718632150973,0.00783535475384825
3.361,108941,143031,78.2181090793621,84.4858650960285,0.00568381187833145
3.401,108939,143046,79.2165832862011,84.2570515489376,0.00242916854762358
3.441,108938,143060,77.5271440402046,84.0739962677301,0.00848542343602674
3.481,108965,143056,77.4285968661572,83.9275416544473,0.0101163815210452
3.521,108977,143072,78.2102214548488,83.8103665946529,0.0101575410462474
3.561,108980,143055,79.1027394027405,83.7166279010392,0.0143753018554839
3.601,108979,143038,78.7811554593006,83.6416361821188,0.0201412316490653
3.641,108973,143039,80.264625461085,83.5816443715308,0.0042215860512184
3.681,108941,142977,79.6052622436872,83.5336482907982,0.00913816761338521
3.721,108905,142957,78.9715218850227,83.3365659416433,0.00503308792189656
3.761,108871,142965,79.0997667938496,84.2474889039087,0.0024656994478423
3.801,108874,142987,78.1066460959572,84.9762337695429,0.00908911643993471
3.841,108905,142999,77.3885787338783,85.5592295205342,0.00439453125
3.881,108925,143011,77.0005966095619,86.0256185039455,0.00801584724579199
3.921,108940,143048,77.9804490322863,86.3987241317317,0.00451495166233079
3.961,108949,143036,78.0765630626443,86.6972048566876,0.0102509994019614
4.001,108958,143059,79.3791055348255,86.9359947596485,0.00890025690115146
4.041,108976,143054,79.7788281007952,87.1270305223768,0.00797484520071342
4.081,108946,143037,79.7514331409701,87.2798592598291,0.00540979487455086
4.121,108951,143012,79.5365255350252,87.4021112653546,0.0155427676195283
4.161,108956,143015,78.9424956143136,87.4998950456236,0.0123767498590201
4.201,108936,142996,72.4766332411623,87.5781063592922,0.0104182560026132
4.241,108932,143002,73.2569610260029,87.6406647102792,0.0234502122100793
4.281,108935,143020,72.4423959304063,87.6907038950861,0.00583388825456471
4.321,108937,142997,73.5009696434581,87.730719307513,0.00790729235385823
4.361,108895,142977,72.8533414539026,87.7627367081433,0.00594521272553023
4.401,108879,142963,73.2261094299246,87.7883532614107,0.00916747234156181
4.441,108887,142996,72.5501054923113,87.8088478641477,0.00776275053495344
4.481,108911,143027,73.3721784273628,87.8252554323821,0.0123647043575201
4.521,108935,143042,72.7613241809107,88.0172986482927,0.0162293846236526
4.561,108948,143041,73.54226517585,88.2220563851659,0.0054918075582041
4.601,108955,143032,74.8316228023382,88.3288367329792,0.00554043247944835
4.641,108946,143005,73.1369317575854,87.9670251645862,0.00499743395763152
4.681,108932,142990,77.5217981796247,87.6775680625603,0.00400420397140057
4.721,108921,142985,75.1001483973916,87.446006009513,0.0119703619845032
4.761,108921,143012,76.1412370139866,87.2607556674475,0.0078315502599343
4.801,108933,143015,77.1747199362998,87.1125263086865,0.00289900929859324
4.841,108940,143030,75.5631223368286,86.9939209481169,0.00998890261009706
4.881,108951,143050,75.9952020128298,86.8990238609129,0.019843091578336
4.921,108955,143060,76.1351392161893,86.8230884519325,0.0161280708641736
4.961,108962,143074,76.6432184281899,86.7623416697511,0.0290034541342077
5.001,108958,143049,75.875548643676,87.2291640378434,0.0264822251789242
5.041,108920,143010,76.3614924866832,87.6026302611318,0.00546460675917954
5.081,108908,143004,75.3653142580549,87.901421905987,0.0137001834439436
5.121,108918,142988,76.1069329890059,88.1404681616666,0.00545915033569285
5.161,108921,142981,76.5609224960214,88.3317104587104,0.00816320971547875
5.201,108919,142985,76.2614422830108,88.4847071821,0.00738096506730028
5.241,108920,142987,75.2707074489933,88.6070970148804,0.0139587816005106
5.281,108923,142996,75.3441716476793,88.7049956367119,0.0145114854508922
5.321,108928,143018,75.7027275118108,88.7833084062477,0.0115471031156108
5.361,108930,143019,75.083273070899,88.8459609105957,0.009583880091011
5.401,108932,143025,76.2353611863289,88.8960861655171,0.00146484375
5.441,108950,143048,74.8057602720574,88.936193368055,0.00487059017169434
5.481,108949,143049,74.3988858706383,88.9682835520259,0.0110835541629064
5.521,108971,143072,75.9356457895427,88.9939486487506,0.0104439695489294
5.561,108968,143082,76.0074236513877,89.0144858890029,0.0170566781979576
5.601,108979,143063,76.6264688703397,89.0309161106794,0.0190241794324005
5.641,108969,143021,77.3314246819677,89.0440602384821,0.0118628228645081
5.681,108929,142971,75.6969321584019,89.0545597738645,0.0137977257333445
5.721,108889,142936,75.847475525126,88.461628974617,0.00537663953748663
5.761,108875,142922,76.6007044674206,87.5863807719579,0.0153031581486473
5.801,108876,142962,75.3148963506607,86.8861821890637,0.0132242212538582
5.841,108895,142986,76.0374285181847,86.32602762275,0.016212849331918
5.881,108907,143009,75.1586273571646,85.8779168527539,0.0095026857695452
5.921,108928,143014,76.406394065162,85.5194267827222,0.00779340317359002
5.961,108935,143033,77.1104314891371,85.2326387869764,0.00812295154278033
6.001,108926,143039,76.6666450031942,85.0032165374102,0.00706743887994635
6.041,108935,143041,76.3931560356687,85.4210094671316,0.0083043707771948
6.081,108935,143039,77.8726590779378,84.7464954350165,0.0120101307385243
6.121,108944,143032,75.9817582138907,84.2069026619273,0.0105687796981999
6.161,108948,143008,76.1197138105826,83.775229692886,0.0126647581536552
6.201,108941,143014,76.1744358116396,83.4298872281842,0.0232305930573541
6.241,108948,142996,76.5398510538854,83.1536084601951,0.00343536310533943
6.281,108919,142978,76.9245043252979,82.9325633583803,0.00450834602358872
6.321,108886,142958,75.705275176915,82.7557164508776,0.00352950007197289
6.361,108864,142949,76.4895359462927,82.9515903184788,0.00840070826859632
6.401,108874,142957,75.5056907619264,83.1082961608998,0.0107477347182886
6.441,108896,143002,74.6165989128724,83.2336668538422,0.00753283624049879
6.481,108916,143023,73.5887914798528,83.3339594855016,0.00650532841527062
6.521,108920,143088,72.9966426322211,83.2172527352707,0.00392147910259009
6.561,108941,143051,73.3309579800544,83.1239005044567,0.00517324709482839
6.601,108942,143033,74.4227667233571,83.0018423766138,0.00474035347630557
6.641,108934,143011,74.8910077209371,82.9042121000059,0.00595522994025902
6.681,108909,142979,82.7692286082297,82.8261200305792,0.00742524722936794
6.721,108927,142970,79.0286339755929,82.7636521311656,0.0111879289427633
6.761,108926,142988,79.9375402203666,82.7136795458767,0.0103031971904342
6.801,108924,142994,79.7289605381995,82.6736809511297,0.016459134561214
6.841,108942,143022,79.7312280452544,82.6416546230576,0.0278170361195099
6.881,108952,143021,79.1758029176164,82.6160134780875,0.00907599135519585
6.921,108942,143006,78.8141705281833,82.5954867446353,0.00538217961060757
6.961,108899,142983,80.2003235967944,82.5790597075502,0.00264078462558398
7.001,108878,142965,79.6831422863402,82.5659293140454,0.00299009978367087
7.041,108880,143016,80.4737467256351,82.5554550458959,0.00431238323551164
7.081,108902,143013,79.3057344938374,82.5471040336458,0.00616183079302928
7.121,108917,143021,78.3437725585753,82.5404343886979,0.00513276270547574
7.161,108930,142994,77.8384303519766,82.5351035136585,0.00321116856395652
7.201,108930,142991,78.2788510551665,82.5308439401081,0.00599513142471127
7.241,108930,142965,78.7109282698937,82.5274245862062,0.0025016969643456
7.281,108917,142980,79.8830373457832,82.5246879365537,0.000913490572942857
7.321,108919,142995,78.1084816278442,82.5224965969824,0.00236703118037907
7.361,108923,143009,77.5132362881558,82.5207588915731,0.00829359753489406
7.401,108925,143019,77.6303136715275,82.5193700486797,0.00559396447138164
7.441,108937,143033,77.1630054739106,82.5182558643448,0.00598518099225159
7.481,108948,143052,76.0897017172005,82.517352333832,0.0101193270390931
7.521,108957,143070,77.3897214991109,82.5166207119901,0.00981736780414214
7.561,108970,143067,76.8091107508198,82.5160248175649,0.0014443554157958
7.601,108973,143045,77.3654505737951,82.5155335241285,0.0100483963023714
7.641,108934,142965,80.0869341361608,82.5151205467631,0.00350407717148616
7.681,108876,142917,77.7379197995086,82.3492106840515,0.00270765051426011
7.721,108860,142917,78.6391645644844,82.4068427347752,0.00594521272553023
7.761,108879,142944,77.9542402639444,82.4529554959517,0.0191988313001343
7.801,108892,142963,77.416654165888,82.4898402035247,0.0120547137652622
7.841,108905,142992,77.5086583222919,82.5193548985986,0.0136675146506625
7.881,108922,143000,77.9137377590513,82.5429634483557,0.0096304115836504
7.921,108938,143016,78.7084532052499,82.5618417623872,0.0194731802759856
7.961,108935,143032,78.6202774754595,82.5769435364571,0.029706005552744
8.001,108931,143034,77.1396420391314,82.5890253081005,0.0349317375439842
8.041,108936,143060,78.4479396665953,82.5987108078826,0.0517255574612564
8.081,108948,143050,77.5030197416847,82.6064608384708,0.0317223141927401
8.121,108959,143052,78.6759738337282,82.6126513171946,0.0394610104376089
8.161,108972,143019,78.9510179722768,82.6175836114761,0.0128585879709606
8.201,108969,143026,79.0930260223857,82.6215203739989,0.00932540490956264
8.241,108971,143008,78.6603640984189,82.6246469895169,0.0274068920795385
8.281,108960,143016,80.661358269918,82.6271364414174,0.0146707999878649
8.321,108955,143027,81.5873636578792,82.6291224580213,0.0221428952019008
8.361,108958,143022,81.621761302464,82.630693453528,0.0210740173726187
8.401,108926,142988,80.6643386934176,82.6319372850167,0.0161169799258779
8.441,108901,142996,79.684847350319,82.6329382410322,0.00782012567287449
8.481,108899,143010,79.2747542187326,82.6337535863298,0.0112039002984216
8.521,108917,143037,80.7155824101903,82.6344209744609,0.0315064398828137
8.561,108927,143046,79.5053136800838,82.6349708804091,0.0174197372698762
8.601,108944,143055,79.6982687496561,82.6354130757328,0.0127070446090558
8.641,108957,143055,80.9443830608507,82.3451993059739,0.0241415454479155
8.681,108964,143014,79.6574249507431,82.1130280592188,0.022623551548912
8.721,108959,142996,79.7769835721212,81.9272834331088,0.0037025759004158
8.761,108950,142998,80.1771949856787,81.7786781418344,0.00875508841652398
8.801,108940,143006,80.3538140066613,81.6597931994671,0.00415756503074375
8.841,108955,143033,80.7666539330497,81.5646678967787,0.00830078125
8.881,108965,143044,79.9204050103873,81.4885496782044,0.0194226104523426
8.921,108958,143049,79.9010943873001,81.4276408095093,0.00943343705388753
8.961,108973,143067,80.8675853128104,81.3789104909363,0.0105093961181791
9.001,108971,143078,81.8951323863811,81.3399250358438,0.00405596868306547
9.041,108969,143080,81.4152081312864,81.3087284775729,0.0104211161964907
9.081,108952,143038,80.3437784247491,81.2837578057902,0.00753679152364899
9.121,108900,142999,80.4914986777074,81.2637844235925,0.00982647060424712
9.161,108895,142964,79.966644150567,81.2478037721993,0.0254808436975374
9.201,108909,142959,79.4655090357663,81.2350204186926,0.0269684236756492
9.241,108924,142961,78.5842395177689,81.2247774670394,0.0130037831890486
