77280,-0.153,-0.163,4.069,-0.92,1.04,-0.06,107293,75626,24.1,100.0,1
77400,-0.161,-0.165,4.088,-0.43,4.15,0.00,107365,75694,24.1,100.0,1
77520,-0.194,-0.163,4.058,0.61,4.03,0.12,107418,75717,24.1,100.0,1
77641,-0.213,-0.145,4.068,-1.77,0.00,0.00,107197,75627,24.1,100.0,1
77761,-0.229,-0.176,4.032,-1.46,3.97,-0.18,107046,75582,24.1,100.0,1
77881,-0.227,-0.204,4.036,-1.89,0.55,-0.92,107055,75592,24.1,100.0,1
78001,-0.223,-0.224,4.064,-1.53,-0.43,-2.20,107078,75638,24.1,100.0,1
78121,-0.260,-0.274,4.053,0.98,-1.46,-1.59,107093,75637,24.1,100.0,1
78242,-0.179,-0.281,4.093,1.71,-6.10,0.73,107076,75600,24.1,100.0,1
78362,-0.170,-0.167,4.078,2.56,-7.26,2.56,106825,75499,24.1,100.0,1
78482,-0.066,-0.213,4.069,-1.46,-0.12,1.65,106747,75547,24.1,100.0,1
78602,-0.103,-0.222,4.068,0.67,-0.43,-0.98,106749,75551,24.1,100.0,1
78723,-0.128,-0.200,4.063,0.18,-1.40,-0.55,106747,75542,24.1,100.0,1
78843,-0.063,-0.201,4.087,0.67,-2.20,-0.37,106776,75530,24.1,100.0,1
78963,-0.054,-0.189,4.079,0.73,1.46,-0.24,106772,75525,24.1,100.0,1
79083,-0.030,-0.179,4.049,1.22,-8.54,1.46,106590,75534,24.1,100.0,1
79204,-0.016,-0.164,4.082,1.04,-0.37,0.55,106551,75514,24.1,100.0,1
79324,0.023,-0.128,4.090,-0.85,3.23,-0.18,106553,75496,24.1,100.0,1
79444,-0.042,-0.225,4.021,0.61,-0.37,1.16,106625,75531,24.1,100.0,1
79564,-0.036,-0.192,4.091,1.65,5.43,0.49,106770,75597,24.1,100.0,1
79684,-0.044,-0.218,4.060,2.75,3.60,0.67,106653,75554,24.1,100.0,1
79805,-0.136,-0.145,4.066,1.28,8.67,0.73,106502,75495,24.1,100.0,1
79925,-0.177,-0.130,4.079,0.55,1.77,1.16,106501,75493,24.1,100.0,1
80045,-0.194,-0.140,4.045,1.10,1.34,-0.31,106565,75537,24.1,100.0,1
80165,-0.158,-0.138,4.089,0.61,-0.18,0.31,106618,75576,24.1,100.0,1
80286,-0.176,-0.113,4.027,-0.73,-0.67,-0.12,106674,75569,24.1,100.0,1
80406,-0.191,-0.138,4.065,1.40,-0.43,-0.31,106513,75481,24.1,100.0,1
80526,-0.151,-0.130,4.077,0.85,-1.83,-0.18,106438,75478,24.1,100.0,1
80646,-0.141,-0.121,4.080,-0.06,-1.89,-0.43,106518,75555,24.1,100.0,1
80767,-0.120,-0.131,4.070,-0.24,-2.01,-0.24,106530,75540,24.1,100.0,1
80887,-0.100,-0.119,4.082,0.49,-1.28,-0.31,106607,75558,24.1,100.0,1
81007,-0.144,-0.125,4.027,0.31,2.14,-0.24,106710,75580,24.1,100.0,1
81127,-0.126,-0.122,4.081,-0.12,-0.24,-0.49,106608,75579,24.1,100.0,1
81247,-0.109,-0.130,4.051,0.79,1.53,-0.49,106565,75596,24.1,100.0,1
81368,-0.111,-0.124,4.073,0.12,0.18,0.37,106604,75581,24.1,100.0,1
81488,-0.127,-0.122,4.064,0.31,0.73,0.24,106692,75578,24.1,100.0,1
81608,-0.126,-0.136,4.068,0.49,1.28,0.43,106835,75671,24.1,100.0,1
81728,-0.158,-0.113,4.035,0.73,4.82,0.43,106940,75694,24.1,100.0,1
81849,-0.170,-0.118,4.078,0.18,1.59,0.43,106844,75645,24.1,100.0,1
81969,-0.161,-0.118,4.049,0.43,3.11,0.37,106801,75619,24.1,100.0,1
82089,-0.188,-0.123,4.060,0.31,1.95,0.49,106932,75671,24.1,100.0,1
82209,-0.209,-0.123,4.061,0.06,2.32,0.49,107029,75740,24.1,100.0,1
82330,-0.230,-0.122,4.074,0.18,1.59,0.24,107090,75730,24.1,100.0,1
82450,-0.229,-0.120,4.043,0.43,0.67,0.18,107151,75724,24.1,100.0,1
82570,-0.216,-0.125,4.070,0.00,-3.60,-0.18,107039,75679,24.1,100.0,1
82690,-0.178,-0.130,4.037,0.12,-0.79,-0.18,107093,75726,24.1,100.0,1
82810,-0.157,-0.133,4.084,0.31,-2.38,-0.37,107114,75724,24.1,100.0,1
82931,-0.149,-0.130,4.068,0.06,-1.40,-0.67,107137,75718,24.1,100.0,1
83051,-0.136,-0.134,4.059,0.18,-1.22,-0.43,107184,75698,24.1,100.0,1
83171,-0.139,-0.130,4.097,0.31,0.37,-0.67,107304,75729,24.1,100.0,1
83291,-0.143,-0.126,4.087,-0.06,-1.46,-0.79,107162,75735,24.1,100.0,1
83412,-0.133,-0.142,4.056,0.31,-0.12,-0.43,107127,75702,24.1,100.0,1
83532,-0.104,-0.130,4.069,0.31,-0.18,0.00,107144,75680,24.1,100.0,1
83652,-0.109,-0.132,4.074,0.37,0.24,-0.31,107203,75698,24.1,100.0,1
83772,-0.116,-0.136,4.078,0.12,-0.06,-0.06,107296,75747,24.1,100.0,1
83892,-0.128,-0.136,4.094,0.73,2.26,-0.24,107369,75759,24.1,100.0,1
84013,-0.141,-0.116,4.081,0.12,0.61,-0.06,107178,75667,24.1,100.0,1
84133,-0.130,-0.128,4.063,0.43,1.40,0.18,107102,75635,24.1,100.0,1
84253,-0.144,-0.116,4.065,0.79,2.32,0.43,107180,75682,24.1,100.0,1
84373,-0.156,-0.130,4.081,-0.18,1.28,0.49,107206,75702,24.1,100.0,1
