15216,-0.497,1.287,3.807,-1.46,0.79,-0.43,97824,262143,116.7,100.0,1
15316,-0.492,1.249,3.797,-1.83,0.37,-1.34,97948,262143,116.7,100.0,1
15416,-0.505,1.212,3.786,-1.77,0.73,-2.69,97980,262143,116.7,100.0,1
15516,-0.511,1.272,3.798,-2.50,0.79,-3.48,98088,262143,116.7,100.0,1
15616,-0.486,1.233,3.805,-2.62,-2.32,-0.37,98229,262143,116.7,100.0,1
15716,-0.525,1.118,3.904,-0.98,7.08,-2.50,98344,262143,116.7,100.0,1
15816,-0.578,1.096,3.842,-0.24,-0.92,0.67,98081,262143,116.7,100.0,1
15916,-0.491,1.192,3.812,0.61,-1.59,-0.31,97741,262143,76.0,100.0,1
16016,-0.515,1.184,3.816,1.04,2.69,-0.49,97775,262143,76.0,100.0,1
16116,-0.467,1.188,3.839,0.24,-1.65,1.83,97834,262143,76.0,100.0,1
16216,-0.537,1.213,3.821,0.98,0.37,-1.77,97939,262143,76.0,100.0,1
16316,-0.512,1.197,3.837,-1.34,-1.65,-0.06,98013,262143,76.0,100.0,1
16416,-0.474,1.199,3.805,-0.67,-0.92,-0.67,98167,262143,76.0,100.0,1
16516,-0.541,1.190,3.881,-1.77,0.06,0.12,98261,262143,76.0,100.0,1
16616,-0.509,1.195,3.828,-6.16,-3.78,-1.28,97697,262143,76.0,100.0,1
16716,-0.542,1.216,3.726,-8.42,0.24,-0.79,97674,262143,76.0,100.0,1
16816,-0.277,1.002,4.003,-5.19,4.94,-4.58,97732,262143,66.3,100.0,1
16916,-0.283,0.920,3.926,-8.24,7.81,-2.62,97793,262143,66.3,100.0,1
17016,-0.668,0.832,3.854,-1.65,7.32,-2.81,97989,262143,66.3,100.0,1
17116,-0.735,0.842,3.753,-2.38,0.37,2.93,97915,262143,66.3,100.0,1
17216,-0.727,0.829,3.887,-1.89,-1.10,-2.99,97715,262143,66.3,100.0,1
17316,-0.649,0.771,3.970,-3.23,-1.71,-4.64,97201,262143,66.3,100.0,1
17416,-0.827,0.973,3.618,-1.10,1.28,1.46,97300,262143,66.3,100.0,1
17516,-0.712,0.924,4.019,-2.93,1.46,-3.11,97568,262143,66.3,100.0,1
17616,-0.174,0.955,4.103,1.34,35.34,-8.48,97655,262143,66.3,100.0,1
17716,-0.825,0.818,3.784,8.42,54.44,-12.82,97851,262143,66.3,100.0,1
17816,-1.302,0.929,3.527,-3.78,21.24,4.03,98132,262143,66.3,100.0,1
17916,-1.355,0.997,3.557,-4.21,59.63,-2.93,97916,262143,66.3,100.0,1
18016,-1.839,0.666,3.665,-28.14,28.02,-8.73,97835,262143,66.3,100.0,1
18116,-2.484,0.680,3.702,-22.34,66.83,-14.47,98078,262143,48.8,100.0,1
18216,-2.413,0.816,2.941,-33.94,18.43,-27.83,98469,262143,48.8,100.0,1
